WG,chapter,numCitations,numDOI,numABS,numURL,percentDOI,percentABS,percentURL
WGI,AnnexI,325,304,208,18,94,64,99
WGI,AnnexII,683,680,676,3,100,99,100
WGI,AnnexIII,44,43,24,1,98,55,100
WGI,AnnexIV,474,471,276,1,99,58,100
WGI,AnnexV,172,167,70,1,97,41,98
WGI,AnnexVI,70,66,63,4,94,90,100
WGI,Atlas,1103,1041,743,58,94,67,100
WGI,Chapter01,1136,1083,505,14,95,44,97
WGI,Chapter02,1551,1543,1042,5,99,67,100
WGI,Chapter03,1146,1142,750,3,100,65,100
WGI,Chapter04,1007,1005,762,0,100,76,100
WGI,Chapter05,1349,1323,981,25,98,73,100
WGI,Chapter06,858,854,685,4,100,80,100
WGI,Chapter07,1032,1017,813,14,99,79,100
WGI,Chapter08,1900,1880,1466,15,99,77,100
WGI,Chapter09,1504,1492,1116,11,99,74,100
WGI,Chapter10,1763,1718,1086,42,97,62,100
WGI,Chapter11,1772,1751,1105,21,99,62,100
WGI,Chapter12,1768,1700,1198,67,96,68,100
WGII,AnnexI,72,57,21,4,79,29,85
WGII,AnnexII,186,63,36,59,34,19,66
WGII,CCP1,2834,1511,2496,333,53,88,65
WGII,CCP2,886,731,521,42,83,59,87
WGII,CCP3,673,458,318,51,68,47,76
WGII,CCP4,643,555,89,70,86,14,97
WGII,CCP5,532,457,43,45,86,8,94
WGII,CCP6,522,444,0,57,85,0,96
WGII,CCP7,388,154,147,15,40,38,44
WGII,Chapter01,659,422,0,84,64,0,77
WGII,Chapter02,4046,2744,1961,528,68,48,81
WGII,Chapter03,2919,2725,2351,133,93,81,98
WGII,Chapter04,3768,2936,2317,214,78,61,84
WGII,Chapter05,2584,2212,2,187,86,0,93
WGII,Chapter06,1969,425,243,162,22,12,30
WGII,Chapter07,2779,2056,1479,132,74,53,79
WGII,Chapter08,1067,883,0,144,83,0,96
WGII,Chapter09,1907,1545,444,296,81,23,97
WGII,Chapter10,2052,1299,83,133,63,4,70
WGII,Chapter11,1771,1118,585,417,63,33,87
WGII,Chapter12,2653,1962,1759,479,74,66,92
WGII,Chapter13,1367,1158,3,113,85,0,93
WGII,Chapter14,1665,1077,0,264,65,0,81
WGII,Chapter15,841,736,127,20,88,15,90
WGII,Chapter16,3892,2655,1390,315,68,36,76
WGII,Chapter17,3593,1503,1218,276,42,34,50
WGII,Chapter18,1199,695,690,258,58,58,79
WGIII,Chapter01,759,759,0,0,100,0,100
WGIII,Chapter02,772,772,0,0,100,0,100
WGIII,Chapter03,823,823,0,0,100,0,100
WGIII,Chapter04,895,895,0,0,100,0,100
WGIII,Chapter05,1528,1528,0,0,100,0,100
WGIII,Chapter06,1574,1574,0,0,100,0,100
WGIII,Chapter07,1111,1111,0,0,100,0,100
WGIII,Chapter08,879,879,0,0,100,0,100
WGIII,Chapter09,1159,1159,0,0,100,0,100
WGIII,Chapter10,881,881,0,0,100,0,100
WGIII,Chapter11,684,684,0,0,100,0,100
WGIII,Chapter12,1224,1224,0,0,100,0,100
WGIII,Chapter13,1391,1391,0,0,100,0,100
WGIII,Chapter14,1032,1032,0,0,100,0,100
WGIII,Chapter16,928,928,0,0,100,0,100
WGIII,Chapter17,649,649,0,0,100,0,100
